value_loss,time_elapsed,policy_entropy,n_updates,clipfrac,total_timesteps,fps,approxkl,serial_timesteps,policy_loss,explained_variance
0.024855964,6.508827209472656e-05,0.6931435,1,0.0,128,92,4.5959365e-07,128,-0.00010560709,0.5302691459655762
0.034422684,1.428518295288086,0.693141,2,0.0,256,353,1.1318781e-08,256,6.1121536e-06,0.42666566371917725
0.034618936,1.7924561500549316,0.69314337,3,0.0,384,320,2.5745265e-07,384,-0.00012758165,0.42844462394714355
0.032765742,2.193019151687622,0.6931458,4,0.0,512,441,7.4413165e-08,512,3.752322e-05,0.473158061504364
0.034769274,2.483781099319458,0.69314545,5,0.0,640,472,5.0182862e-08,640,-1.3303128e-05,0.4559270739555359
0.032126665,2.7559070587158203,0.69314504,6,0.0,768,563,1.4116164e-08,768,-1.5918515e-05,0.4788612127304077
0.03412024,2.9842071533203125,0.6931462,7,0.0,896,572,8.3956614e-08,896,-1.0099728e-05,0.4404158592224121
0.030166183,3.2088301181793213,0.69314665,8,0.0,1024,544,3.5234102e-08,1024,-1.2159988e-05,0.5283176302909851
0.032401983,3.445235013961792,0.6931469,9,0.0,1152,574,1.07162705e-08,1152,-2.5893096e-06,0.43285220861434937
0.032038793,3.669214963912964,0.6931468,10,0.0,1280,519,4.910131e-09,1280,2.3898901e-06,0.4663007855415344
0.02370197,3.916443109512329,0.693147,11,0.0,1408,567,9.142919e-08,1408,-6.377278e-05,0.45641469955444336
0.031554457,4.143157958984375,0.69314677,12,0.0,1536,563,1.955462e-08,1536,5.1315874e-06,0.43503862619400024
0.02815998,4.371416091918945,0.69314694,13,0.0,1664,567,6.014187e-08,1664,-4.8410147e-06,0.49113303422927856
0.0313747,4.597874164581299,0.69314694,14,0.0,1792,505,3.3012718e-08,1792,-1.1588563e-05,0.46533066034317017
0.029986564,4.852375030517578,0.6931468,15,0.0,1920,522,5.3746135e-08,1920,-4.0568644e-05,0.45207810401916504
0.02997379,5.098080158233643,0.6931463,16,0.0,2048,544,5.4756754e-08,2048,-2.2255117e-05,0.48216116428375244
0.029863702,5.334020137786865,0.6931452,17,0.0,2176,558,4.1519268e-08,2176,4.256144e-06,0.49907952547073364
0.029239256,5.564126014709473,0.6931454,18,0.0,2304,561,3.8280064e-09,2304,-1.0630931e-05,0.4615110754966736
0.02204381,5.793180227279663,0.69314605,19,0.0,2432,573,1.4138621e-07,2432,-8.0329715e-05,0.5236733853816986
0.0265153,6.017347097396851,0.693147,20,0.0,2560,568,2.7933071e-08,2560,-1.0394666e-05,0.5048912763595581
0.02929691,6.243526220321655,0.6931468,21,0.0,2688,567,3.9790976e-08,2688,-5.7495083e-05,0.49778854846954346
